
 STEP      TIME        ||U||  LABEL  TYPE             b            t
    0  00:00:00   4.7371e-02      1  EP      2.5071e-02   3.1416e-02
    1  00:00:00   4.7371e-02      2  SN      2.5071e-02   3.1416e-02
    1  00:00:00   4.7328e-02      3  FP      2.5023e-02   3.1416e-02
   24  00:00:00   5.7065e-02      4  HB      3.0122e-02   3.1416e-02
   38  00:00:01   6.8134e-02      5  SN      3.5642e-02   3.1416e-02
   38  00:00:01   6.8134e-02      6  BP      3.5642e-02   3.1416e-02
  930  00:00:10   9.5066e-01      7  UZ      4.7124e-01   3.1416e-02
 1247  00:00:14   1.2678e+00      8  EP      6.2832e-01   3.1416e-02

 STEP      TIME        ||U||  LABEL  TYPE             b            t
    0  00:00:14   4.7371e-02      9  EP      2.5071e-02   3.1416e-02
    1  00:00:14   4.7371e-02     10  BP      2.5071e-02   3.1416e-02
    1  00:00:14   4.7426e-02     11  FP      2.5112e-02   3.1416e-02
    2  00:00:15   4.7426e-02     12  SN      2.5112e-02   3.1416e-02
    2  00:00:15   4.7435e-02     13  FP      2.5103e-02   3.1416e-02
   23  00:00:15   5.7064e-02     14  HB      3.0121e-02   3.1416e-02
   38  00:00:16   6.8144e-02     15  SN      3.5647e-02   3.1416e-02
   38  00:00:16   6.8144e-02     16  BP      3.5647e-02   3.1416e-02
  929  00:00:27   9.5066e-01     17  UZ      4.7124e-01   3.1416e-02
 1247  00:00:32   1.2678e+00     18  EP      6.2832e-01   3.1416e-02
