
 STEP      TIME        ||U||  LABEL  TYPE             b            t
    0  00:00:00   4.8535e-01      1  EP      2.6160e-01   3.1416e-01
    1  00:00:00   4.8535e-01      2  SN      2.6160e-01   3.1416e-01
    1  00:00:00   4.8511e-01      3  FP      2.6131e-01   3.1416e-01
   22  00:00:00   5.6424e-01      4  SN      2.9668e-01   3.1416e-01
   22  00:00:00   5.6424e-01      5  BP      2.9668e-01   3.1416e-01
   27  00:00:01   5.9633e-01      6  SN      3.1158e-01   3.1416e-01
   27  00:00:01   5.9633e-01      7  BP      3.1158e-01   3.1416e-01
   37  00:00:01   6.7687e-01      8  SN      3.5014e-01   3.1416e-01
   37  00:00:02   6.7687e-01      9  BP      3.5014e-01   3.1416e-01
   45  00:00:02   7.3944e-01     10  SN      3.8093e-01   3.1416e-01
   45  00:00:02   7.3944e-01     11  BP      3.8093e-01   3.1416e-01
   71  00:00:03   9.7392e-01     12  EP      5.0000e-01   3.1416e-01

 STEP      TIME        ||U||  LABEL  TYPE             b            t
    0  00:00:04   4.8535e-01     13  EP      2.6160e-01   3.1416e-01
    1  00:00:04   4.8535e-01     14  BP      2.6160e-01   3.1416e-01
    1  00:00:04   4.8572e-01     15  FP      2.6184e-01   3.1416e-01
    2  00:00:04   4.8572e-01     16  SN      2.6184e-01   3.1416e-01
    2  00:00:04   4.8584e-01     17  FP      2.6179e-01   3.1416e-01
   22  00:00:05   5.6424e-01     18  SN      2.9668e-01   3.1416e-01
   22  00:00:05   5.6424e-01     19  BP      2.9668e-01   3.1416e-01
   27  00:00:05   5.9633e-01     20  SN      3.1158e-01   3.1416e-01
   27  00:00:05   5.9633e-01     21  BP      3.1158e-01   3.1416e-01
   37  00:00:06   6.7687e-01     22  SN      3.5014e-01   3.1416e-01
   37  00:00:06   6.7687e-01     23  BP      3.5014e-01   3.1416e-01
   45  00:00:06   7.3944e-01     24  SN      3.8093e-01   3.1416e-01
   45  00:00:06   7.3944e-01     25  BP      3.8093e-01   3.1416e-01
   70  00:00:07   9.7392e-01     26  EP      5.0000e-01   3.1416e-01
